nbin_dir	run_name	data_path	N_steps	f_FNA	f_SNA	f_VSNA	f_LLP	T_FNA	T_SNA	T_VSNA	logL	nll	BIC	success	opt_time_sec
dwell_time_all_fixed_window	run_Family_H_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_H_noise_0.5\dwell_times_all.txt	20	0.385225	0.410825	0.197611	0.00633935	2.38269	7.81522	45.7181	-428897.125929	428897.125929	857876.811748	True	52.9938
dwell_time_all_fixed_window	run_High_Pause_4_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Pause_4_noise_0.5\dwell_times_all.txt	20	0.0353091	4.23012e-07	0.96469	4.23012e-07	2.35528	6.95018	9.21928	-581762.890317	581762.890317	1163610.391382	True	46.5729
dwell_time_all_fixed_window	run_Family_G_3_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_G_3_noise_0.5\dwell_times_all.txt	20	0.419422	0.580578	3.11211e-07	3.11211e-07	2.32335	2.18286	9.99287	-997150.736188	997150.736188	1994394.085637	True	84.7118
dwell_time_all_fixed_window	run_Family_G_2_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_G_2_noise_0.5\dwell_times_all.txt	20	0.479621	0.520378	3.53743e-07	3.53743e-07	2.36399	2.14752	9.99645	-995793.941305	995793.941305	1991680.712544	True	92.8941
dwell_time_all_fixed_window	run_Family_G_4_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_G_4_noise_0.5\dwell_times_all.txt	20	0.456385	0.543235	0.000380234	4.36536e-07	2.36933	2.96642	9.95373	-982564.264252	982564.264252	1965220.409198	True	76.8222
dwell_time_all_fixed_window	run_High_Pause_5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Pause_5\dwell_times_all.txt	20	0.0348196	0.00952751	0.952819	0.00283356	1.9127	5.24362	9.89428	-578232.226058	578232.226058	1156548.917616	True	54.4371
dwell_time_all_fixed_window	run_Family_A_4_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_A_4_noise_0.5\dwell_times_all.txt	20	0.302294	0.442174	0.233994	0.0215385	2.29578	7.74329	48.9331	-373137.903673	373137.903673	746356.882808	True	170.5570
dwell_time_all_fixed_window	run_Family_F_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_F_noise_0.5\dwell_times_all.txt	20	0.323817	0.395438	0.230364	0.0503818	2.34259	7.85341	51.5998	-344244.504634	344244.504634	688569.487338	True	103.6180
dwell_time_all_fixed_window	run_Balanced_2	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Balanced_2\dwell_times_all.txt	20	0.47385	0.485196	0.0409542	2.9804e-07	2.36579	3.03367	6.26077	-972870.907115	972870.907115	1945833.502947	True	170.9214
dwell_time_all_fixed_window	run_Family_E_5_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_E_5_noise_0.5\dwell_times_all.txt	20	0.504568	0.408368	0.0870633	2.83112e-07	2.4257	3.62424	6.97026	-935881.514841	935881.514841	1871854.036887	True	132.5502
